edgeID,startID,endID
1,1,27
2,1,2
3,1,3
4,2,25
5,2,9
6,2,27
7,2,1
8,2,28
9,3,14
10,3,46
11,3,6
12,3,22
13,4,49
14,4,26
15,4,16
16,5,31
17,5,30
18,5,6
19,6,14
20,6,30
21,6,46
22,7,48
23,7,36
24,7,42
25,7,9
26,7,50
27,8,44
28,8,17
29,8,28
30,9,48
31,9,7
32,9,2
33,9,45
34,10,47
35,10,29
36,10,35
37,10,23
38,10,26
39,11,41
40,11,12
41,11,32
42,11,38
43,12,38
44,12,40
45,12,32
46,13,42
47,13,36
48,13,50
49,13,7
50,14,3
51,14,6
52,14,46
53,14,30
54,14,22
55,15,38
56,15,23
57,15,21
58,15,40
59,15,29
60,16,17
61,16,26
62,16,34
63,16,44
64,16,8
65,17,44
66,17,16
67,17,8
68,17,27
69,18,39
70,18,19
71,18,24
72,18,31
73,19,24
74,19,43
75,19,50
76,19,39
77,20,33
78,20,22
79,20,46
80,20,3
81,21,40
82,21,23
83,21,32
84,21,38
85,22,46
86,22,6
87,22,33
88,22,20
89,22,14
90,23,21
91,23,40
92,23,34
93,24,43
94,24,19
95,24,45
96,25,2
97,25,28
98,25,9
99,25,8
100,25,49
101,26,16
102,26,34
103,26,35
104,27,1
105,27,8
106,27,44
107,27,17
108,27,2
109,28,8
110,28,49
111,28,44
112,28,27
113,29,47
114,29,10
115,29,35
116,29,23
117,29,26
118,30,31
119,30,5
120,30,6
121,30,14
122,30,22
123,31,30
124,31,5
125,31,6
126,32,40
127,32,21
128,32,38
129,32,23
130,33,20
131,33,22
132,33,46
133,33,3
134,34,26
135,34,16
136,34,23
137,35,47
138,35,29
139,35,10
140,36,42
141,36,13
142,36,50
143,36,7
144,37,5
145,37,22
146,37,31
147,37,30
148,37,6
149,38,40
150,38,32
151,38,21
152,38,12
153,38,23
154,39,18
155,39,19
156,39,24
157,39,43
158,39,45
159,40,32
160,40,21
161,40,38
162,40,23
163,40,12
164,41,11
165,41,12
166,41,32
167,41,40
168,42,36
169,42,13
170,42,7
171,43,24
172,43,45
173,43,19
174,44,8
175,44,17
176,44,16
177,44,27
178,45,43
179,45,24
180,45,19
181,45,50
182,45,39
183,46,22
184,46,3
185,46,14
186,47,29
187,47,10
188,47,35
189,48,7
190,48,36
191,48,42
192,48,9
193,49,28
194,49,8
195,49,44
196,49,4
197,50,43
198,50,19
199,50,24
200,50,36
201,50,45
